first call	mean (ms)	std		second call	mean	std
org.springframework.web.reactive.function.client.ExchangeFunctions$DefaultExchangeFunction.lambda$exchange$4(org.springframework.http.client.reactive.ClientHttpResponse)	9.037754591	1.894923101		org.springframework.web.util.HierarchicalUriComponents.encodeUriComponent(java.lang.String,java.nio.charset.Charset,org.springframework.web.util.HierarchicalUriComponents$Type)	0.562451101	0.1023432025
org.springframework.web.util.DefaultUriBuilderFactory.uriString(java.lang.String)	8.232545773	1.370998723		org.springframework.web.util.HierarchicalUriComponents.expandInternal(org.springframework.web.util.UriComponents$UriTemplateVariables)	0.5563280707	0.2032902446
org.springframework.web.reactive.function.client.DefaultWebClient.methodInternal(org.springframework.http.HttpMethod)	7.986034489	1.325950218		org.springframework.core.ResolvableType.hasUnresolvableGenerics()	0.547081101	0.09921595072
org.springframework.util.CollectionUtils.unmodifiableMultiValueMap(org.springframework.util.MultiValueMap)	7.200350227	1.490225766		org.springframework.web.util.HierarchicalUriComponents.expandInternal(org.springframework.web.util.UriComponents$UriTemplateVariables)	0.5370186768	0.2014813788
org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	7.167120068	0.9826370397		org.springframework.http.HttpHeaders.getContentType()	0.5019685051	0.1012497057
org.springframework.http.codec.FormHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	7.144645193	0.9800839854		org.springframework.web.util.HierarchicalUriComponents$FullPathComponent.encode(java.util.function.BiFunction)	0.4958565455	0.09697947761
org.springframework.util.CollectionUtils.toMultiValueMap(java.util.Map)	6.590528102	1.461656807		org.springframework.http.HttpHeaders.getContentType()	0.4591178687	0.08224778129
org.springframework.web.reactive.function.client.ExchangeFunctions$DefaultExchangeFunction.lambda$exchange$0(org.springframework.web.reactive.function.client.ClientRequest,org.springframework.http.client.reactive.ClientHttpRequest)	5.264725273	0.9410358521		org.springframework.web.util.HierarchicalUriComponents.lambda$encode$2(java.nio.charset.Charset,java.lang.String,org.springframework.web.util.HierarchicalUriComponents$Type)	0.4573484545	0.09046552139
org.springframework.web.reactive.function.client.DefaultClientRequestBuilder$BodyInserterRequest.writeTo(org.springframework.http.client.reactive.ClientHttpRequest,org.springframework.web.reactive.function.client.ExchangeStrategies)	5.242044409	0.9299352062		org.springframework.web.util.HierarchicalUriComponents.encodeUriComponent(java.lang.String,java.nio.charset.Charset,org.springframework.web.util.HierarchicalUriComponents$Type)	0.4409411212	0.0881830525
org.springframework.web.reactive.function.client.ExchangeFunctions$DefaultExchangeFunction.exchange(org.springframework.web.reactive.function.client.ClientRequest)	4.87834475	0.8076213862		org.springframework.http.client.reactive.ReactorClientHttpConnector.lambda$connect$1(java.util.function.Function,org.springframework.http.HttpMethod,java.net.URI,reactor.ipc.netty.http.client.HttpClientRequest)	0.413343	0.1145688593
org.springframework.web.reactive.function.client.DefaultClientRequestBuilder.build()	4.427185784	1.269636799		org.springframework.http.MediaType.parseMediaType(java.lang.String)	0.3935533636	0.0850809464
org.springframework.core.ResolvableType.hasUnresolvableGenerics()	4.147471693	0.6082528117		org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec.bodyToPublisher(org.springframework.web.reactive.function.client.ClientResponse,org.reactivestreams.Publisher,java.util.function.Function)	0.3883491212	0.07297235437
org.springframework.web.reactive.function.BodyInserters.lambda$static$0(org.springframework.http.ReactiveHttpOutputMessage,org.springframework.web.reactive.function.BodyInserter$Context)	4.034492261	0.7730988412		org.springframework.http.MediaType.parseMediaType(java.lang.String)	0.357770899	0.06842105443
org.springframework.http.client.reactive.ReactorClientHttpRequest.setComplete()	4.009646636	0.7694982606		org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec.lambda$bodyToPublisher$4(org.springframework.web.reactive.function.client.ClientResponse,org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec$StatusHandler)	0.3414461313	0.06743033727
org.springframework.http.client.reactive.AbstractClientHttpRequest.lambda$null$0()	3.854128795	0.6731049237		org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	0.3009037778	0.06731405237
org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec.bodyToPublisher(org.springframework.web.reactive.function.client.ClientResponse,org.reactivestreams.Publisher,java.util.function.Function)	3.634521057	0.7134274725		org.springframework.web.util.DefaultUriBuilderFactory.uriString(java.lang.String)	0.2973858586	0.0931246044
org.springframework.core.ResolvableType.getSuperType()	3.598169875	0.5438291496		org.springframework.http.codec.DecoderHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	0.2840948081	0.06421780964
org.springframework.http.client.reactive.AbstractClientHttpRequest.doCommit(java.util.function.Supplier)	3.591309795	0.7206345997		org.springframework.web.reactive.function.client.ExchangeFunctions$DefaultExchangeFunction.lambda$exchange$0(org.springframework.web.reactive.function.client.ClientRequest,org.springframework.http.client.reactive.ClientHttpRequest)	0.2763286768	0.09426637162
org.springframework.http.client.reactive.ReactorClientHttpRequest.applyCookies()	3.278865909	0.5850614284		org.springframework.core.io.buffer.DataBufferUtils.lambda$join$17(java.util.List)	0.2675442929	0.3950844102
org.springframework.core.io.buffer.DataBufferUtils.lambda$join$17(java.util.List)	3.241966159	0.5755235346		org.springframework.core.codec.StringDecoder.canDecode(org.springframework.core.ResolvableType,org.springframework.util.MimeType)	0.2673346566	0.06151939536
org.springframework.core.io.buffer.NettyDataBufferFactory.join(java.util.List)	3.166589864	0.5657544576		org.springframework.web.reactive.function.client.DefaultClientRequestBuilder$BodyInserterRequest.writeTo(org.springframework.http.client.reactive.ClientHttpRequest,org.springframework.web.reactive.function.client.ExchangeStrategies)	0.2579865556	0.08950883447
org.springframework.web.util.UriComponents.expand(java.lang.Object[])	3.12972083	0.4336953408		org.springframework.web.util.UriComponentsBuilder.build()	0.2556424545	0.1275393707
org.springframework.http.client.reactive.ReactorClientHttpConnector.adaptResponse(reactor.ipc.netty.http.client.HttpClientResponse)	3.1176975	0.7220187315		org.springframework.web.util.DefaultUriBuilderFactory$DefaultUriBuilder.initUriComponentsBuilder(java.lang.String)	0.251683303	0.04203557047
org.springframework.core.ResolvableType.isAssignableFrom(org.springframework.core.ResolvableType)	2.950737307	0.5056206458		org.springframework.web.util.UriComponentsBuilder.build(boolean)	0.2323624343	0.1248465103
org.springframework.core.ResolvableType.isAssignableFrom(org.springframework.core.ResolvableType,java.util.Map)	2.930469727	0.5038625506		org.springframework.web.util.HierarchicalUriComponents.expandQueryParams(org.springframework.web.util.UriComponents$UriTemplateVariables)	0.231866202	0.1836822089
org.springframework.web.reactive.function.BodyExtractors.contentType(org.springframework.http.HttpMessage)	2.721525545	0.5014513361		org.springframework.core.codec.AbstractDecoder.canDecode(org.springframework.core.ResolvableType,org.springframework.util.MimeType)	0.231443303	0.05548848346
org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec.lambda$bodyToPublisher$4(org.springframework.web.reactive.function.client.ClientResponse,org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec$StatusHandler)	2.629777011	0.5661806015		org.springframework.http.client.reactive.ReactorClientHttpResponse.lambda$getHeaders$1(org.springframework.http.HttpHeaders,java.util.Map$Entry)	0.2275334444	0.0426087149
org.springframework.web.util.UriComponentsBuilder$CompositePathComponentBuilder.build()	2.543549148	1.178988051		org.springframework.web.util.HierarchicalUriComponents.encodeUriComponent(java.lang.String,java.nio.charset.Charset,org.springframework.web.util.HierarchicalUriComponents$Type)	0.2273166465	0.04998919984
org.springframework.web.util.UriComponentsBuilder$FullPathComponentBuilder.build()	2.441100739	1.175804711		org.springframework.http.client.reactive.ReactorClientHttpResponse.lambda$getHeaders$1(org.springframework.http.HttpHeaders,java.util.Map$Entry)	0.2249244646	0.04982053713
org.springframework.http.client.reactive.ReactorClientHttpRequest.lambda$setComplete$3()	2.424910705	0.5474111989		org.springframework.web.reactive.function.client.DefaultClientRequestBuilder.build()	0.2196222727	0.04636211948
org.springframework.core.SerializableTypeWrapper.forGenericSuperclass(java.lang.Class)	2.302245625	0.3555270169		org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec$StatusHandler.test(org.springframework.http.HttpStatus)	0.2164887475	0.03942025908
